source_train_dataset,target_train_dataset,training_method,test_dataset,adaptation_state,test_region_type,test_abs_rel,test_sq_rel,test_log10,test_rmse,test_rmse_log,test_a1,test_a2,test_a3
DDAD,KITTI,FedSCDepth,KITTI,before_adaptation,full,0.150,3.279,0.072,17.040,0.264,0.790,0.913,0.956
DDAD,KITTI,FedSCDepth,KITTI,before_adaptation,dynamic,0.209,4.617,0.096,17.301,0.303,0.664,0.870,0.942
DDAD,KITTI,FedSCDepth,KITTI,before_adaptation,static,0.147,3.322,0.071,17.142,0.259,0.796,0.912,0.956
DDAD,KITTI,FedSCDepth,DDAD,before_adaptation,full,0.364,8.693,0.229,26.120,0.742,0.436,0.617,0.699
DDAD,KITTI,FedSCDepth,DDAD,before_adaptation,dynamic,0.351,11.741,0.198,27.155,0.553,0.396,0.603,0.748
DDAD,KITTI,FedSCDepth,DDAD,before_adaptation,static,0.382,9.769,0.236,26.557,0.757,0.428,0.604,0.685
DDAD,KITTI,FedSCDepth,KITTI,after_adaptation,full,0.119,0.794,0.051,4.607,0.186,0.865,0.963,0.985
DDAD,KITTI,FedSCDepth,KITTI,after_adaptation,dynamic,0.223,2.871,0.092,7.816,0.299,0.682,0.868,0.937
DDAD,KITTI,FedSCDepth,KITTI,after_adaptation,static,0.109,0.654,0.046,4.258,0.159,0.882,0.975,0.992
DDAD,KITTI,FedSCDepth,DDAD,after_adaptation,full,0.214,4.996,0.107,21.585,0.367,0.646,0.842,0.913
DDAD,KITTI,FedSCDepth,DDAD,after_adaptation,dynamic,0.236,6.360,0.118,20.786,0.361,0.596,0.811,0.898
DDAD,KITTI,FedSCDepth,DDAD,after_adaptation,static,0.217,5.186,0.109,21.903,0.371,0.639,0.836,0.909
DDAD,KITTI,BOFedSCDepth,KITTI,before_adaptation,full,0.321,3.100,0.124,7.479,0.357,0.484,0.798,0.932
DDAD,KITTI,BOFedSCDepth,KITTI,before_adaptation,dynamic,0.396,5.569,0.143,9.836,0.396,0.438,0.727,0.881
DDAD,KITTI,BOFedSCDepth,KITTI,before_adaptation,static,0.306,2.874,0.119,7.266,0.341,0.496,0.811,0.942
DDAD,KITTI,BOFedSCDepth,DDAD,before_adaptation,full,0.215,5.412,0.113,22.755,0.381,0.615,0.827,0.906
DDAD,KITTI,BOFedSCDepth,DDAD,before_adaptation,dynamic,0.272,7.901,0.137,22.914,0.403,0.519,0.748,0.863
DDAD,KITTI,BOFedSCDepth,DDAD,before_adaptation,static,0.213,5.535,0.114,23.021,0.380,0.613,0.826,0.905
DDAD,KITTI,BOFedSCDepth,KITTI,after_adaptation,full,,,,,,,,
DDAD,KITTI,BOFedSCDepth,KITTI,after_adaptation,dynamic,,,,,,,
DDAD,KITTI,BOFedSCDepth,KITTI,after_adaptation,static,,,,,,,
DDAD,KITTI,BOFedSCDepth,DDAD,after_adaptation,full,,,,,,,
DDAD,KITTI,BOFedSCDepth,DDAD,after_adaptation,dynamic,,,,,,,
DDAD,KITTI,BOFedSCDepth,DDAD,after_adaptation,static,,,,,,,
