source_train_dataset,target_train_dataset,training_method,test_dataset,adaptation_state,test_region_type,test_abs_rel,test_sq_rel,test_log10,test_rmse,test_rmse_log,test_a1,test_a2,test_a3
DDAD,KITTI,BOFedSCDepth(Retrain),KITTI,before_adaptation,dynamic,0.396,5.569,0.143,9.836,0.396,0.438,0.727,0.881
DDAD,KITTI,BOFedSCDepth(Retrain),KITTI,before_adaptation,static,0.306,2.874,0.119,7.266,0.341,0.496,0.811,0.942
DDAD,KITTI,BOFedSCDepth(Retrain),DDAD,before_adaptation,full,0.215,5.412,0.113,22.755,0.381,0.615,0.827,0.906
DDAD,KITTI,BOFedSCDepth(Retrain),DDAD,before_adaptation,dynamic,0.272,7.901,0.137,22.914,0.403,0.519,0.748,0.863
DDAD,KITTI,BOFedSCDepth(Retrain),DDAD,before_adaptation,static,0.213,5.535,0.114,23.021,0.380,0.613,0.826,0.905
DDAD,KITTI,BOFedSCDepth(Retrain),KITTI,after_adaptation,full,0.117,0.761,0.051,4.600,0.185,0.869,0.963,0.985
DDAD,KITTI,BOFedSCDepth(Retrain),KITTI,after_adaptation,dynamic,0.219,2.911,0.091,7.776,0.299,0.695,0.872,0.935
DDAD,KITTI,BOFedSCDepth(Retrain),KITTI,after_adaptation,static,0.107,0.630,0.046,4.268,0.158,0.886,0.974,0.992
DDAD,KITTI,BOFedSCDepth(Retrain),DDAD,after_adaptation,full,0.217,4.999,0.108,21.482,0.370,0.638,0.842,0.912
DDAD,KITTI,BOFedSCDepth(Retrain),DDAD,after_adaptation,dynamic,0.235,6.130,0.116,20.475,0.356,0.595,0.817,0.907
DDAD,KITTI,BOFedSCDepth(Retrain),DDAD,after_adaptation,static,0.220,5.191,0.111,21.798,0.373,0.630,0.836,0.908
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),KITTI,before_adaptation,full,0.125,0.777,0.055,4.757,0.190,0.848,0.959,0.985
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),KITTI,before_adaptation,dynamic,0.219,2.299,0.092,7.430,0.287,0.669,0.876,0.953
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),KITTI,before_adaptation,static,0.114,0.658,0.050,4.512,0.167,0.868,0.970,0.991
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),DDAD,before_adaptation,full,0.247,5.691,0.122,22.913,0.404,0.574,0.808,0.899
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),DDAD,before_adaptation,dynamic,0.266,7.465,0.134,22.468,0.395,0.521,0.764,0.876
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),DDAD,before_adaptation,static,0.251,5.899,0.124,23.243,0.408,0.568,0.802,0.895
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),KITTI,after_adaptation,full,0.224,2.527,0.084,7.583,0.275,0.705,0.897,0.961
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),KITTI,after_adaptation,dynamic,0.321,4.926,0.119,9.991,0.348,0.536,0.805,0.918
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),KITTI,after_adaptation,static,0.217,2.496,0.081,7.456,0.262,0.720,0.905,0.966
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),DDAD,after_adaptation,full,0.152,3.107,0.070,16.311,0.255,0.796,0.919,0.961
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),DDAD,after_adaptation,dynamic,0.218,4.619,0.097,16.942,0.298,0.657,0.874,0.947
KITTI,DDAD,BOFedSCDepth(ConstrainedLoss),DDAD,after_adaptation,static,0.148,3.135,0.069,16.398,0.249,0.803,0.920,0.961
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),KITTI,before_adaptation,full,0.125,0.777,0.055,4.757,0.190,0.848,0.959,0.985
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),KITTI,before_adaptation,dynamic,0.219,2.299,0.092,7.430,0.287,0.669,0.876,0.953
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),KITTI,before_adaptation,static,0.114,0.658,0.050,4.512,0.167,0.868,0.970,0.991
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),DDAD,before_adaptation,full,0.247,5.691,0.122,22.913,0.404,0.574,0.808,0.899
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),DDAD,before_adaptation,dynamic,0.266,7.465,0.134,22.468,0.395,0.521,0.764,0.876
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),DDAD,before_adaptation,static,0.251,5.899,0.124,23.243,0.408,0.568,0.802,0.895
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),KITTI,after_adaptation,full,0.221,2.427,0.083,7.404,0.271,0.708,0.900,0.963
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),KITTI,after_adaptation,dynamic,0.334,5.289,0.122,10.212,0.353,0.529,0.795,0.910
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),KITTI,after_adaptation,static,0.213,2.353,0.080,7.230,0.257,0.722,0.909,0.968
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),DDAD,after_adaptation,full,0.155,3.243,0.073,16.775,0.263,0.783,0.915,0.957
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),DDAD,after_adaptation,dynamic,0.224,4.814,0.100,17.299,0.306,0.648,0.866,0.944
KITTI,DDAD,BOFedSCDepth(ConstrainedLossRetrain),DDAD,after_adaptation,static,0.152,3.283,0.071,16.885,0.257,0.788,0.915,0.957
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),KITTI,before_adaptation,full,0.321,3.100,0.124,7.479,0.357,0.484,0.798,0.932
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),KITTI,before_adaptation,dynamic,0.396,5.569,0.143,9.836,0.396,0.438,0.727,0.881
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),KITTI,before_adaptation,static,0.306,2.874,0.119,7.266,0.341,0.496,0.811,0.942
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),DDAD,before_adaptation,full,0.215,5.412,0.113,22.755,0.381,0.615,0.827,0.906
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),DDAD,before_adaptation,dynamic,0.272,7.901,0.137,22.914,0.403,0.519,0.748,0.863
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),DDAD,before_adaptation,static,0.213,5.535,0.114,23.021,0.380,0.613,0.826,0.905
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),KITTI,after_adaptation,full,0.119,0.755,0.052,4.701,0.187,0.863,0.962,0.985
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),KITTI,after_adaptation,dynamic,0.207,2.340,0.089,7.420,0.292,0.692,0.882,0.945
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),KITTI,after_adaptation,static,0.109,0.630,0.048,4.428,0.162,0.880,0.973,0.992
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),DDAD,after_adaptation,full,0.231,5.546,0.117,22.729,0.397,0.606,0.825,0.898
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),DDAD,after_adaptation,dynamic,0.249,7.100,0.128,22.084,0.386,0.557,0.791,0.883
DDAD,KITTI,BOFedSCDepth(ConstrainedLoss),DDAD,after_adaptation,static,0.235,5.763,0.119,23.065,0.402,0.599,0.818,0.894
